emoji,name,clean_name,emotional_scores,scaled_emotional_scores,max_emotion,sentiment
😀,grinning face,grin face,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Anticipation,positive
😃,grinning face with big eyes,grin face big eye,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Anticipation,positive
😄,grinning face with smiling eyes,grin face smile eye,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 2, 'Trust': 2}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.06818181818181818, 'Sadness': 0.0, 'Surprise': 0.058823529411764705, 'Trust': 0.08333333333333333}",Trust,positive
😁,beaming face with smiling eyes,beam face smile eye,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 4, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.09090909090909091, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
😆,grinning squinting face,grin squint face,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Anticipation,positive
😅,grinning face with sweat,grin face sweat,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 1, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.08333333333333333, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Fear,positive
🤣,rolling on the floor laughing,roll floor laugh,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Joy,positive
😂,face with tears of joy,face tear joy,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Joy,positive
🙂,slightly smiling face,slightly smile face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
🙃,upside-down face,upside face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😉,winking face,wink face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
